Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
14371.948050949999,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,10567.8046745908,13002.9381809152,17393.4046741168,14534.3501288608,14695.9293496288,12546.327271856,12609.0888302932,12964.338700398399,15691.3620768324,11847.3475316448
16310.150648218,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,14371.948050949999,10567.8046745908,13002.9381809152,17393.4046741168,14534.3501288608,14695.9293496288,12546.327271856,13834.0238951432,17443.6737650224,11701.5522069796
14651.4950639176,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,16310.150648218,14371.948050949999,10567.8046745908,13002.9381809152,17393.4046741168,14534.3501288608,14695.9293496288,13362.451947123998,17050.0488299848,10760.876882369601
13838.811427610399,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,14651.4950639176,16310.150648218,14371.948050949999,10567.8046745908,13002.9381809152,17393.4046741168,14534.3501288608,17012.4966221952,13711.418180866,11769.5501290528
13310.462336738,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,13838.811427610399,14651.4950639176,16310.150648218,14371.948050949999,10567.8046745908,13002.9381809152,17393.4046741168,14545.122076912,11858.7927264492,14338.3605184848
6913.7205190004,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,13310.462336738,13838.811427610399,14651.4950639176,16310.150648218,14371.948050949999,10567.8046745908,13002.9381809152,14741.410908067199,10497.4877914788,12131.9812978588
12528.5984406884,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,6913.7205190004,13310.462336738,13838.811427610399,14651.4950639176,16310.150648218,14371.948050949999,10567.8046745908,10251.8275317556,10072.9683109888,10745.8410382148
14507.1958431484,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,12528.5984406884,6913.7205190004,13310.462336738,13838.811427610399,14651.4950639176,16310.150648218,14371.948050949999,12609.0888302932,12964.338700398399,15691.3620768324
14343.2976613416,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,14507.1958431484,12528.5984406884,6913.7205190004,13310.462336738,13838.811427610399,14651.4950639176,16310.150648218,12546.327271856,13834.0238951432,17443.6737650224
13971.5906483804,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,14343.2976613416,14507.1958431484,12528.5984406884,6913.7205190004,13310.462336738,13838.811427610399,14651.4950639176,14695.9293496288,13362.451947123998,17050.0488299848
13751.7381808632,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,13971.5906483804,14343.2976613416,14507.1958431484,12528.5984406884,6913.7205190004,13310.462336738,13838.811427610399,14534.3501288608,17012.4966221952,13711.418180866
