Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
22449.263375064398,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,22448.1412971424,23615.7755827756,26508.6420760812,20319.1106479396,15512.054024896799,21411.9397387728,24237.631167148,24745.1096086712,27708.1433746992,25472.3657125168
22693.4275308916,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,22449.263375064398,22448.1412971424,23615.7755827756,26508.6420760812,20319.1106479396,15512.054024896799,21411.9397387728,23648.3158425136,19175.114803863198,23249.3797386452
14933.061817144799,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,22693.4275308916,22449.263375064398,22448.1412971424,23615.7755827756,26508.6420760812,20319.1106479396,15512.054024896799,19883.0711674504,24829.115842431598,22242.4270114424
21284.696102418,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,14933.061817144799,22693.4275308916,22449.263375064398,22448.1412971424,23615.7755827756,26508.6420760812,20319.1106479396,23650.8592191368,25496.3781800476,23068.425972424
19562.306492148,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,21284.696102418,14933.061817144799,22693.4275308916,22449.263375064398,22448.1412971424,23615.7755827756,26508.6420760812,22426.8966218192,28601.392205806,29813.61038754
20152.9683102888,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,19562.306492148,21284.696102418,14933.061817144799,22693.4275308916,22449.263375064398,22448.1412971424,23615.7755827756,19736.0789596684,20180.197401196,28729.683114888
19565.7475311088,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,20152.9683102888,19562.306492148,21284.696102418,14933.061817144799,22693.4275308916,22449.263375064398,22448.1412971424,21508.36363487,24519.5719463492,29937.5625953236
19910.2254531628,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,19565.7475311088,20152.9683102888,19562.306492148,21284.696102418,14933.061817144799,22693.4275308916,22449.263375064398,24237.631167148,24745.1096086712,27708.1433746992
18582.8072714368,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,19910.2254531628,19565.7475311088,20152.9683102888,19562.306492148,21284.696102418,14933.061817144799,22693.4275308916,21411.9397387728,23648.3158425136,19175.114803863198
20624.540258308,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,18582.8072714368,19910.2254531628,19565.7475311088,20152.9683102888,19562.306492148,21284.696102418,14933.061817144799,15512.054024896799,19883.0711674504,24829.115842431598
17329.5210377576,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,20624.540258308,18582.8072714368,19910.2254531628,19565.7475311088,20152.9683102888,19562.306492148,21284.696102418,20319.1106479396,23650.8592191368,25496.3781800476
19030.2171415356,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,17329.5210377576,20624.540258308,18582.8072714368,19910.2254531628,19565.7475311088,20152.9683102888,19562.306492148,26508.6420760812,22426.8966218192,28601.392205806
20857.0348037464,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,19030.2171415356,17329.5210377576,20624.540258308,18582.8072714368,19910.2254531628,19565.7475311088,20152.9683102888,23615.7755827756,19736.0789596684,20180.197401196
22126.8529854764,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,20857.0348037464,19030.2171415356,17329.5210377576,20624.540258308,18582.8072714368,19910.2254531628,19565.7475311088,22448.1412971424,21508.36363487,24519.5719463492
22089.7496088556,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,22126.8529854764,20857.0348037464,19030.2171415356,17329.5210377576,20624.540258308,18582.8072714368,19910.2254531628,22449.263375064398,24237.631167148,24745.1096086712
17031.9459728432,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,22089.7496088556,22126.8529854764,20857.0348037464,19030.2171415356,17329.5210377576,20624.540258308,18582.8072714368,22693.4275308916,21411.9397387728,23648.3158425136
15476.371946977199,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,17031.9459728432,22089.7496088556,22126.8529854764,20857.0348037464,19030.2171415356,17329.5210377576,20624.540258308,14933.061817144799,15512.054024896799,19883.0711674504
17207.9625962076,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,15476.371946977199,17031.9459728432,22089.7496088556,22126.8529854764,20857.0348037464,19030.2171415356,17329.5210377576,21284.696102418,20319.1106479396,23650.8592191368
16121.9407781012,0,0,0,0,1,0,0,0,0.01,82.9,53.5,90,19,6,17207.9625962076,15476.371946977199,17031.9459728432,22089.7496088556,22126.8529854764,20857.0348037464,19030.2171415356,19562.306492148,26508.6420760812,22426.8966218192
17479.2062325524,0,0,0,0,0,1,0,0,0.57,55.9,42.9,89,60,5.2,16121.9407781012,17207.9625962076,15476.371946977199,17031.9459728432,22089.7496088556,22126.8529854764,20857.0348037464,20152.9683102888,23615.7755827756,19736.0789596684
10442.5059733008,0,0,0,0,0,0,1,0,0.32,56.6,44,88,47,5.1,17479.2062325524,16121.9407781012,17207.9625962076,15476.371946977199,17031.9459728432,22089.7496088556,22126.8529854764,19565.7475311088,22448.1412971424,21508.36363487
9509.7599993396,1,0,0,0,0,0,0,0,0,61.2,36.9,94,34,2.6,10442.5059733008,17479.2062325524,16121.9407781012,17207.9625962076,15476.371946977199,17031.9459728432,22089.7496088556,19910.2254531628,22449.263375064398,24237.631167148
16447.6425962604,0,1,0,0,0,0,0,0,0,67.1,37.3,80,19,2.4,9509.7599993396,10442.5059733008,17479.2062325524,16121.9407781012,17207.9625962076,15476.371946977199,17031.9459728432,18582.8072714368,22693.4275308916,21411.9397387728
11578.7968823128,0,0,1,0,0,0,0,1,0.02,68.8,39.4,76,18,2.6,16447.6425962604,9509.7599993396,10442.5059733008,17479.2062325524,16121.9407781012,17207.9625962076,15476.371946977199,20624.540258308,14933.061817144799,15512.054024896799
12529.3464926364,0,0,0,1,0,0,0,0,0,71.8,41.5,77,23,2.4,11578.7968823128,16447.6425962604,9509.7599993396,10442.5059733008,17479.2062325524,16121.9407781012,17207.9625962076,17329.5210377576,21284.696102418,20319.1106479396
11457.537661542,0,0,0,0,1,0,0,0,0,68.9,40.9,78,28,2.9,12529.3464926364,11578.7968823128,16447.6425962604,9509.7599993396,10442.5059733008,17479.2062325524,16121.9407781012,19030.2171415356,19562.306492148,26508.6420760812
13464.561038026,0,0,0,0,0,1,0,0,0,72.9,42.2,88,32,2.7,11457.537661542,12529.3464926364,11578.7968823128,16447.6425962604,9509.7599993396,10442.5059733008,17479.2062325524,20857.0348037464,20152.9683102888,23615.7755827756
16082.5184404416,0,0,0,0,0,0,1,0,0,85.4,46.8,59,9,2.7,13464.561038026,11457.537661542,12529.3464926364,11578.7968823128,16447.6425962604,9509.7599993396,10442.5059733008,22126.8529854764,19565.7475311088,22448.1412971424
11584.706492702,1,0,0,0,0,0,0,0,0,90.7,49.1,54,10,2.7,16082.5184404416,13464.561038026,11457.537661542,12529.3464926364,11578.7968823128,16447.6425962604,9509.7599993396,22089.7496088556,19910.2254531628,22449.263375064398
18472.245193522398,0,1,0,0,0,0,0,0,0,82.7,50.2,54,12,3,11584.706492702,16082.5184404416,13464.561038026,11457.537661542,12529.3464926364,11578.7968823128,16447.6425962604,17031.9459728432,18582.8072714368,22693.4275308916
