Date,Zone,Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
2020-09-21,101 Hydro,1725.69,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,149 Hydro,7790.47,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,34 Hydro,1583.76,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,59 Hydro,5262.12,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Canal 1,3405.16,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Canal 2,8240.92,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Canal 3,40798.58,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Foothill,185135.5,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Intermediate,274773.07,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Lower,161601.76,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Mountain,14957.37,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-21,Upper,402457.25,1,0,0,0,0,0,0,0,0.19,0,470,13.2,93.5,60.6,76,76,21,43,52,3.1,75.2,73.2
2020-09-22,101 Hydro,1568.47,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,149 Hydro,6806.34,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,34 Hydro,1564.27,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,59 Hydro,6540.9,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Canal 1,3107.99,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Canal 2,8162.84,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Canal 3,43745.65,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Foothill,194495.47,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Intermediate,290272.55,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Lower,171323.63,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Mountain,15384.02,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-22,Upper,439076.69,0,1,0,0,0,0,0,0,0.2,0,478,12.8,92.5,59.2,75.8,75,21,42,51.1,3.3,79.4,73.2
2020-09-23,101 Hydro,1526.47,0,0,1,0,0,0,0,0,0.19,0,463,12.7,92.2,61,76.1,67,22,41,50.9,3,73.1,73
2020-09-23,149 Hydro,7242.95,0,0,1,0,0,0,0,0,0.19,0,463,12.7,92.2,61,76.1,67,22,41,50.9,3,73.1,73
2020-09-23,34 Hydro,1438.52,0,0,1,0,0,0,0,0,0.19,0,463,12.7,92.2,61,76.1,67,22,41,50.9,3,73.1,73
2020-09-23,59 Hydro,4535.87,0,0,1,0,0,0,0,0,0.19,0,463,12.7,92.2,61,76.1,67,22,41,50.9,3,73.1,73
2020-09-23,Canal 1,2973.38,0,0,1,0,0,0,0,0,0.19,0,463,12.7,92.2,61,76.1,67,22,41,50.9,3,73.1,73
