Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
251,Highland,Los Angeles Basin,2/2/2022,033,0.15, ,0.01, ,381, ,2.1, ,58.9, ,39.4, ,51.4, ,74, ,8, ,16, ,7.1, ,7.6,Y,183.2,Y,50.3, 
251,Highland,Los Angeles Basin,2/3/2022,034,0.11, ,0.00, ,362, ,3.2, ,65.5, ,35.1, ,50.0, ,41, ,16, ,26, ,16.2, ,3.6, ,86.0, ,49.0, 
251,Highland,Los Angeles Basin,2/4/2022,035,0.11, ,0.00, ,373, ,3.4, ,66.4, ,36.1, ,50.6, ,49, ,14, ,27, ,18.2, ,3.6, ,86.2, ,49.2, 
251,Highland,Los Angeles Basin,2/5/2022,036,0.10, ,0.00, ,388, ,3.4, ,71.9, ,34.4, ,51.8, ,50, ,10, ,26, ,17.8, ,3.0, ,71.4, ,49.1, 
251,Highland,Los Angeles Basin,2/6/2022,037,0.14, ,0.00, ,390, ,3.3, ,79.4, ,40.7, ,59.3, ,38, ,8, ,19, ,17.2, ,4.6, ,109.5, ,49.7, 
251,Highland,Los Angeles Basin,2/7/2022,038,0.12, ,0.00, ,390, ,3.8, ,78.1, ,41.5, ,58.0, ,42, ,10, ,23, ,20.8, ,3.0, ,72.5, ,50.3, 
251,Highland,Los Angeles Basin,2/8/2022,039,0.14, ,0.01, ,386, ,4.3, ,79.0, ,42.9, ,62.0, ,48, ,12, ,23, ,23.4, ,3.7, ,90.0, ,51.0, 
251,Highland,Los Angeles Basin,2/9/2022,040,0.17, ,0.00, ,406, ,3.4, ,83.0, ,47.2, ,68.7,Y,32,H,7,H,14,Y,18.1,Y,6.4, ,153.6, ,51.9, 
251,Highland,Los Angeles Basin,2/10/2022,041,0.18, ,0.03, ,397, ,5.1, ,81.3, ,55.1, ,69.5,Y,32, ,11, ,21,Y,27.4,Y,5.7, ,137.1, ,53.0, 
251,Highland,Los Angeles Basin,2/11/2022,042,0.16, ,0.00, ,404, ,5.0, ,86.6,Y,49.9, ,67.6, ,45, ,9, ,22, ,27.2, ,4.3, ,104.2, ,53.6, 
251,Highland,Los Angeles Basin,2/12/2022,043,0.14, ,0.02, ,413, ,4.6, ,85.2, ,51.0, ,66.0, ,34, ,9, ,21, ,24.8, ,3.3, ,79.0, ,54.1, 
251,Highland,Los Angeles Basin,2/13/2022,044,0.13, ,0.00, ,424,R,4.2, ,85.5,Y,47.1, ,64.8, ,40, ,7, ,20, ,22.7, ,2.8, ,67.8, ,54.4, 
251,Highland,Los Angeles Basin,2/14/2022,045,0.14, ,0.00, ,419, ,5.2, ,80.2, ,46.9, ,62.3, ,57, ,11, ,27, ,27.8, ,3.5, ,84.5, ,54.6, 
251,Highland,Los Angeles Basin,2/15/2022,046,0.06, ,0.02, ,161, ,8.6, ,57.4, ,41.8, ,50.3, ,88, ,57, ,70, ,40.7, ,7.0, ,167.8, ,54.1, 
251,Highland,Los Angeles Basin,2/16/2022,047,0.11, ,0.00, ,406, ,7.4, ,62.8, ,37.1, ,49.7, ,92, ,34, ,61, ,36.9, ,3.7, ,89.8, ,52.8, 
251,Highland,Los Angeles Basin,2/17/2022,048,0.14, ,0.00, ,430, ,4.0, ,67.7, ,42.2, ,55.8, ,80, ,16, ,26, ,21.9, ,4.8, ,114.4, ,52.9, 
251,Highland,Los Angeles Basin,2/18/2022,049,0.13, ,0.02, ,435, ,4.1, ,74.6, ,38.4, ,56.1, ,50, ,13, ,26, ,22.1, ,3.2, ,77.6, ,52.6, 
251,Highland,Los Angeles Basin,2/19/2022,050,0.14, ,0.00, ,432, ,5.4, ,79.0, ,42.5, ,59.8, ,57, ,12, ,31, ,29.0, ,3.0, ,71.9, ,53.0, 
251,Highland,Los Angeles Basin,2/20/2022,051,0.13, ,0.00, ,422, ,7.8, ,71.3, ,42.3, ,56.2, ,82, ,24, ,51, ,38.2, ,4.4, ,105.7, ,53.8, 
251,Highland,Los Angeles Basin,2/21/2022,052,0.07, ,0.01, ,235, ,9.7, ,59.8, ,46.7, ,52.5, ,90, ,53, ,72, ,43.8, ,5.2, ,123.8, ,54.5, 
251,Highland,Los Angeles Basin,2/22/2022,053,0.05, ,0.13, ,181, ,8.6, ,57.4, ,43.2, ,48.6, ,89, ,49, ,73, ,40.5, ,6.4, ,152.5, ,53.8, 
251,Highland,Los Angeles Basin,2/23/2022,054,0.06, ,0.07, ,265, ,6.1, ,50.6, ,34.9, ,42.9, ,90, ,37, ,65, ,31.8, ,3.8, ,92.0, ,52.7, 
251,Highland,Los Angeles Basin,2/24/2022,055,0.11, ,0.00, ,445, ,4.0, ,58.1, ,30.2,Y,43.9, ,71, ,18, ,41, ,21.7, ,3.0, ,72.2, ,51.4, 
251,Highland,Los Angeles Basin,2/25/2022,056,0.13, ,0.01, ,446, ,4.0, ,64.2, ,33.2,Y,48.8, ,67, ,16, ,34, ,21.6, ,3.4, ,82.6, ,51.5, 
251,Highland,Los Angeles Basin,2/26/2022,057,0.14, ,0.00, ,438, ,3.5, ,68.2, ,34.4, ,51.6, ,54, ,13, ,27, ,18.5, ,3.2, ,76.5, ,51.6, 
251,Highland,Los Angeles Basin,2/27/2022,058,0.15, ,0.00, ,463, ,3.3, ,75.4, ,36.9, ,55.1, ,49, ,8, ,22, ,17.2, ,3.4, ,80.8, ,52.0, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
