Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
1321280.6399082444,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,1484897.1801566223,1592578.28560369,1397937.6373055184,1458609.66223637,1447564.3011981759,1404730.6222401115,1402690.2357467469,1496068.8123636388,1489009.1469095836,1386885.0201634287
1341282.2773094529,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,1321280.6399082444,1484897.1801566223,1592578.28560369,1397937.6373055184,1458609.66223637,1447564.3011981759,1404730.6222401115,1502455.6798956627,1493377.24664954,1464148.8373009204
1308417.6622468,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,1341282.2773094529,1321280.6399082444,1484897.1801566223,1592578.28560369,1397937.6373055184,1458609.66223637,1447564.3011981759,1467093.1697682485,1661634.327157336,1500165.1448308867
1281561.1760148988,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,1308417.6622468,1341282.2773094529,1321280.6399082444,1484897.1801566223,1592578.28560369,1397937.6373055184,1458609.66223637,1449474.07782142,1509392.4404146615,1551622.5910610796
1247255.1396536448,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,1281561.1760148988,1308417.6622468,1341282.2773094529,1321280.6399082444,1484897.1801566223,1592578.28560369,1397937.6373055184,1374546.8757487012,1564683.6528783543,1481572.4632737364
1217706.7136816708,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,1247255.1396536448,1281561.1760148988,1308417.6622468,1341282.2773094529,1321280.6399082444,1484897.1801566223,1592578.28560369,1351226.80510097,1576719.8087216744,1472745.0762613623
1140914.1692714193,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,1217706.7136816708,1247255.1396536448,1281561.1760148988,1308417.6622468,1341282.2773094529,1321280.6399082444,1484897.1801566223,1396033.0970459103,1573400.0289816451,1465848.4861319712
1099397.4357678087,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,1140914.1692714193,1217706.7136816708,1247255.1396536448,1281561.1760148988,1308417.6622468,1341282.2773094529,1321280.6399082444,1402690.2357467469,1496068.8123636388,1489009.1469095836
1286759.9874431093,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,1099397.4357678087,1140914.1692714193,1217706.7136816708,1247255.1396536448,1281561.1760148988,1308417.6622468,1341282.2773094529,1404730.6222401115,1502455.6798956627,1493377.24664954
1321942.6658822244,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,1286759.9874431093,1099397.4357678087,1140914.1692714193,1217706.7136816708,1247255.1396536448,1281561.1760148988,1308417.6622468,1447564.3011981759,1467093.1697682485,1661634.327157336
1319139.7900382632,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,1321942.6658822244,1286759.9874431093,1099397.4357678087,1140914.1692714193,1217706.7136816708,1247255.1396536448,1281561.1760148988,1458609.66223637,1449474.07782142,1509392.4404146615
1377109.0284757959,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,1319139.7900382632,1321942.6658822244,1286759.9874431093,1099397.4357678087,1140914.1692714193,1217706.7136816708,1247255.1396536448,1397937.6373055184,1374546.8757487012,1564683.6528783543
1329447.4222453395,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,1377109.0284757959,1319139.7900382632,1321942.6658822244,1286759.9874431093,1099397.4357678087,1140914.1692714193,1217706.7136816708,1592578.28560369,1351226.80510097,1576719.8087216744
1333591.7048424543,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,1329447.4222453395,1377109.0284757959,1319139.7900382632,1321942.6658822244,1286759.9874431093,1099397.4357678087,1140914.1692714193,1484897.1801566223,1396033.0970459103,1573400.0289816451
1319455.3183499295,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,1333591.7048424543,1329447.4222453395,1377109.0284757959,1319139.7900382632,1321942.6658822244,1286759.9874431093,1099397.4357678087,1321280.6399082444,1402690.2357467469,1496068.8123636388
1296212.6710788163,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,1319455.3183499295,1333591.7048424543,1329447.4222453395,1377109.0284757959,1319139.7900382632,1321942.6658822244,1286759.9874431093,1341282.2773094529,1404730.6222401115,1502455.6798956627
1341329.7786081508,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,1296212.6710788163,1319455.3183499295,1333591.7048424543,1329447.4222453395,1377109.0284757959,1319139.7900382632,1321942.6658822244,1308417.6622468,1447564.3011981759,1467093.1697682485
1316665.0845838897,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,1341329.7786081508,1296212.6710788163,1319455.3183499295,1333591.7048424543,1329447.4222453395,1377109.0284757959,1319139.7900382632,1281561.1760148988,1458609.66223637,1449474.07782142
