Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
2119021.1156970016,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,2189629.0658219685,2210895.210236076,2250880.082960572,2221954.1858197236,2249874.327116486,2181604.4133549933,2224049.1801052922,2328279.521916236,2241732.454909259,2062505.940635991
2124663.073099207,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,2119021.1156970016,2189629.0658219685,2210895.210236076,2250880.082960572,2221954.1858197236,2249874.327116486,2181604.4133549933,2308919.114644853,2358642.651264777,2178179.0834851013
2068171.760895338,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,2124663.073099207,2119021.1156970016,2189629.0658219685,2210895.210236076,2250880.082960572,2221954.1858197236,2249874.327116486,2275453.7390627614,2629231.368129103,2256459.42841473
2076544.7811544968,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,2068171.760895338,2124663.073099207,2119021.1156970016,2189629.0658219685,2210895.210236076,2250880.082960572,2221954.1858197236,2107700.621152333,2362928.240874869,2267314.5598425474
1958969.5666172071,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,2076544.7811544968,2068171.760895338,2124663.073099207,2119021.1156970016,2189629.0658219685,2210895.210236076,2250880.082960572,2110753.3463469264,2457179.046063129,2249938.4351684297
1892157.6809075612,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,1958969.5666172071,2076544.7811544968,2068171.760895338,2124663.073099207,2119021.1156970016,2189629.0658219685,2210895.210236076,2102411.8938799733,2403725.7224304774,2274107.469971946
1888237.215453288,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,1892157.6809075612,1958969.5666172071,2076544.7811544968,2068171.760895338,2124663.073099207,2119021.1156970016,2189629.0658219685,2090629.9260885837,2344395.179057974,2251067.095947572
1909926.0840232105,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,1888237.215453288,1892157.6809075612,1958969.5666172071,2076544.7811544968,2068171.760895338,2124663.073099207,2119021.1156970016,2224049.1801052922,2328279.521916236,2241732.454909259
2005317.5188217808,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,1909926.0840232105,1888237.215453288,1892157.6809075612,1958969.5666172071,2076544.7811544968,2068171.760895338,2124663.073099207,2181604.4133549933,2308919.114644853,2358642.651264777
2011702.3666135452,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,2005317.5188217808,1909926.0840232105,1888237.215453288,1892157.6809075612,1958969.5666172071,2076544.7811544968,2068171.760895338,2249874.327116486,2275453.7390627614,2629231.368129103
2008675.8980423268,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,2011702.3666135452,2005317.5188217808,1909926.0840232105,1888237.215453288,1892157.6809075612,1958969.5666172071,2076544.7811544968,2221954.1858197236,2107700.621152333,2362928.240874869
1989496.9681735288,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,2008675.8980423268,2011702.3666135452,2005317.5188217808,1909926.0840232105,1888237.215453288,1892157.6809075612,1958969.5666172071,2250880.082960572,2110753.3463469264,2457179.046063129
2022353.6538855329,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,1989496.9681735288,2008675.8980423268,2011702.3666135452,2005317.5188217808,1909926.0840232105,1888237.215453288,1892157.6809075612,2210895.210236076,2102411.8938799733,2403725.7224304774
1976104.3697329003,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,2022353.6538855329,1989496.9681735288,2008675.8980423268,2011702.3666135452,2005317.5188217808,1909926.0840232105,1888237.215453288,2189629.0658219685,2090629.9260885837,2344395.179057974
2087625.151023857,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,1976104.3697329003,2022353.6538855329,1989496.9681735288,2008675.8980423268,2011702.3666135452,2005317.5188217808,1909926.0840232105,2119021.1156970016,2224049.1801052922,2328279.521916236
2005203.665315295,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,2087625.151023857,1976104.3697329003,2022353.6538855329,1989496.9681735288,2008675.8980423268,2011702.3666135452,2005317.5188217808,2124663.073099207,2181604.4133549933,2308919.114644853
2019254.1754441895,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,2005203.665315295,2087625.151023857,1976104.3697329003,2022353.6538855329,1989496.9681735288,2008675.8980423268,2011702.3666135452,2068171.760895338,2249874.327116486,2275453.7390627614
1964934.607655754,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,2019254.1754441895,2005203.665315295,2087625.151023857,1976104.3697329003,2022353.6538855329,1989496.9681735288,2008675.8980423268,2076544.7811544968,2221954.1858197236,2107700.621152333
1905459.3162313127,0,0,0,0,1,0,0,0,0.01,82.9,53.5,90,19,6,1964934.607655754,2019254.1754441895,2005203.665315295,2087625.151023857,1976104.3697329003,2022353.6538855329,1989496.9681735288,1958969.5666172071,2250880.082960572,2110753.3463469264
1454241.1136652448,0,0,0,0,0,1,0,0,0.57,55.9,42.9,89,60,5.2,1905459.3162313127,1964934.607655754,2019254.1754441895,2005203.665315295,2087625.151023857,1976104.3697329003,2022353.6538855329,1892157.6809075612,2210895.210236076,2102411.8938799733
1410003.6404215635,0,0,0,0,0,0,1,0,0.32,56.6,44,88,47,5.1,1454241.1136652448,1905459.3162313127,1964934.607655754,2019254.1754441895,2005203.665315295,2087625.151023857,1976104.3697329003,1888237.215453288,2189629.0658219685,2090629.9260885837
1656752.3157291035,1,0,0,0,0,0,0,0,0,61.2,36.9,94,34,2.6,1410003.6404215635,1454241.1136652448,1905459.3162313127,1964934.607655754,2019254.1754441895,2005203.665315295,2087625.151023857,1909926.0840232105,2119021.1156970016,2224049.1801052922
1524809.4170369676,0,1,0,0,0,0,0,0,0,67.1,37.3,80,19,2.4,1656752.3157291035,1410003.6404215635,1454241.1136652448,1905459.3162313127,1964934.607655754,2019254.1754441895,2005203.665315295,2005317.5188217808,2124663.073099207,2181604.4133549933
1588628.197292276,0,0,1,0,0,0,0,1,0.02,68.8,39.4,76,18,2.6,1524809.4170369676,1656752.3157291035,1410003.6404215635,1454241.1136652448,1905459.3162313127,1964934.607655754,2019254.1754441895,2011702.3666135452,2068171.760895338,2249874.327116486
1577793.03885147,0,0,0,1,0,0,0,0,0,71.8,41.5,77,23,2.4,1588628.197292276,1524809.4170369676,1656752.3157291035,1410003.6404215635,1454241.1136652448,1905459.3162313127,1964934.607655754,2008675.8980423268,2076544.7811544968,2221954.1858197236
