Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
1199171.7069297112,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,1221992.9765385159,1249523.158354786,1256112.4487439387,1259532.5422501948,1264121.76614598,1251030.3334196163,1228350.5952393732,1305852.6669223027,1273965.0825089328,1209617.1303056092
1177434.0653727793,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,1199171.7069297112,1221992.9765385159,1249523.158354786,1256112.4487439387,1259532.5422501948,1264121.76614598,1251030.3334196163,1238257.0471867372,1369987.199904862,1282487.4887421073
1147250.992128122,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,1177434.0653727793,1199171.7069297112,1221992.9765385159,1249523.158354786,1256112.4487439387,1259532.5422501948,1264121.76614598,1239481.7578360029,1477682.2939233573,1294115.5074425985
1143101.3235569815,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,1147250.992128122,1177434.0653727793,1199171.7069297112,1221992.9765385159,1249523.158354786,1256112.4487439387,1259532.5422501948,1174844.5339443877,1345123.0752312639,1261999.8419902832
1109485.3651177576,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,1143101.3235569815,1147250.992128122,1177434.0653727793,1199171.7069297112,1221992.9765385159,1249523.158354786,1256112.4487439387,1164949.901217802,1317112.1204280143,1271678.3625090916
1099857.4877158287,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,1109485.3651177576,1143101.3235569815,1147250.992128122,1177434.0653727793,1199171.7069297112,1221992.9765385159,1249523.158354786,1130347.63628514,1322194.2357523367,1316967.3723760764
1022737.0721367688,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,1099857.4877158287,1109485.3651177576,1143101.3235569815,1147250.992128122,1177434.0653727793,1199171.7069297112,1221992.9765385159,1186423.4056318952,1309852.351077869,1322030.1131549457
1010813.5729168176,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,1022737.0721367688,1099857.4877158287,1109485.3651177576,1143101.3235569815,1147250.992128122,1177434.0653727793,1199171.7069297112,1228350.5952393732,1305852.6669223027,1273965.0825089328
1107698.0445984013,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,1010813.5729168176,1022737.0721367688,1099857.4877158287,1109485.3651177576,1143101.3235569815,1147250.992128122,1177434.0653727793,1251030.3334196163,1238257.0471867372,1369987.199904862
1156523.2456339716,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,1107698.0445984013,1010813.5729168176,1022737.0721367688,1099857.4877158287,1109485.3651177576,1143101.3235569815,1147250.992128122,1264121.76614598,1239481.7578360029,1477682.2939233573
1146991.1188813867,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,1156523.2456339716,1107698.0445984013,1010813.5729168176,1022737.0721367688,1099857.4877158287,1109485.3651177576,1143101.3235569815,1259532.5422501948,1174844.5339443877,1345123.0752312639
