Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
98441.76622692999,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,113204.49661551519,122926.8529784764,112829.12414800879,112069.1781740356,111033.9490831984,114633.5750569744,102953.9407720712,120528.8228487728,112756.1890830788,111888.8976545676
105949.5147978372,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,98441.76622692999,113204.49661551519,122926.8529784764,112829.12414800879,112069.1781740356,111033.9490831984,114633.5750569744,118939.0628488832,115005.4316803252,115080.4612907096
99977.7412917584,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,105949.5147978372,98441.76622692999,113204.49661551519,122926.8529784764,112829.12414800879,112069.1781740356,111033.9490831984,113641.1345375628,134751.2353153176,116152.4945373884
104417.0555771644,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,99977.7412917584,105949.5147978372,98441.76622692999,113204.49661551519,122926.8529784764,112829.12414800879,112069.1781740356,109346.4186937052,130961.15531558079,118426.7968748928
92964.6794740636,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,104417.0555771644,99977.7412917584,105949.5147978372,98441.76622692999,113204.49661551519,122926.8529784764,112829.12414800879,117105.1386931664,122634.7386927824,117415.8046671708
82184.80207221479,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,92964.6794740636,104417.0555771644,99977.7412917584,105949.5147978372,98441.76622692999,113204.49661551519,122926.8529784764,103784.5028499356,137266.3355748832,115680.1745374212
87938.742851036,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,82184.80207221479,92964.6794740636,104417.0555771644,99977.7412917584,105949.5147978372,98441.76622692999,113204.49661551519,103672.893499294,126647.9625886076,119665.1968748068
78519.4971374044,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,87938.742851036,82184.80207221479,92964.6794740636,104417.0555771644,99977.7412917584,105949.5147978372,98441.76622692999,102953.9407720712,120528.8228487728,112756.1890830788
97429.1283049224,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,78519.4971374044,87938.742851036,82184.80207221479,92964.6794740636,104417.0555771644,99977.7412917584,105949.5147978372,114633.5750569744,118939.0628488832,115005.4316803252
92956.4509026356,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,97429.1283049224,78519.4971374044,87938.742851036,82184.80207221479,92964.6794740636,104417.0555771644,99977.7412917584,111033.9490831984,113641.1345375628,134751.2353153176
98689.0722009388,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,92956.4509026356,97429.1283049224,78519.4971374044,87938.742851036,82184.80207221479,92964.6794740636,104417.0555771644,112069.1781740356,109346.4186937052,130961.15531558079
87481.30908483399,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,98689.0722009388,92956.4509026356,97429.1283049224,78519.4971374044,87938.742851036,82184.80207221479,92964.6794740636,112829.12414800879,117105.1386931664,122634.7386927824
100227.74025278,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,87481.30908483399,98689.0722009388,92956.4509026356,97429.1283049224,78519.4971374044,87938.742851036,82184.80207221479,122926.8529784764,103784.5028499356,137266.3355748832
92295.1729806036,0,0,0,0,0,0,1,0,0,91.1,56.7,43,9,3.6,100227.74025278,87481.30908483399,98689.0722009388,92956.4509026356,97429.1283049224,78519.4971374044,87938.742851036,113204.49661551519,103672.893499294,126647.9625886076
85498.223370686,1,0,0,0,0,0,0,0,0,87.4,56.1,64,18,3.5,92295.1729806036,100227.74025278,87481.30908483399,98689.0722009388,92956.4509026356,97429.1283049224,78519.4971374044,98441.76622692999,102953.9407720712,120528.8228487728
90845.29869499,0,1,0,0,0,0,0,0,0,82.1,53.2,70,29,2.8,85498.223370686,92295.1729806036,100227.74025278,87481.30908483399,98689.0722009388,92956.4509026356,97429.1283049224,105949.5147978372,114633.5750569744,118939.0628488832
86337.8368771212,0,0,1,0,0,0,0,0,0,94.5,52.1,69,10,2.6,90845.29869499,85498.223370686,92295.1729806036,100227.74025278,87481.30908483399,98689.0722009388,92956.4509026356,99977.7412917584,111033.9490831984,113641.1345375628
97827.3163568428,0,0,0,1,0,0,0,0,0.05,92.8,56.6,38,11,2.9,86337.8368771212,90845.29869499,85498.223370686,92295.1729806036,100227.74025278,87481.30908483399,98689.0722009388,104417.0555771644,112069.1781740356,109346.4186937052
101237.4607721904,0,0,0,0,1,0,0,0,0.01,82.9,53.5,90,19,6,97827.3163568428,86337.8368771212,90845.29869499,85498.223370686,92295.1729806036,100227.74025278,87481.30908483399,92964.6794740636,112829.12414800879,117105.1386931664
63900.46752803,0,0,0,0,0,1,0,0,0.57,55.9,42.9,89,60,5.2,101237.4607721904,97827.3163568428,86337.8368771212,90845.29869499,85498.223370686,92295.1729806036,100227.74025278,82184.80207221479,122926.8529784764,103784.5028499356
60692.5215542268,0,0,0,0,0,0,1,0,0.32,56.6,44,88,47,5.1,63900.46752803,101237.4607721904,97827.3163568428,86337.8368771212,90845.29869499,85498.223370686,92295.1729806036,87938.742851036,113204.49661551519,103672.893499294
60702.3210347456,1,0,0,0,0,0,0,0,0,61.2,36.9,94,34,2.6,60692.5215542268,63900.46752803,101237.4607721904,97827.3163568428,86337.8368771212,90845.29869499,85498.223370686,78519.4971374044,98441.76622692999,102953.9407720712
85572.5797343172,0,1,0,0,0,0,0,0,0,67.1,37.3,80,19,2.4,60702.3210347456,60692.5215542268,63900.46752803,101237.4607721904,97827.3163568428,86337.8368771212,90845.29869499,97429.1283049224,105949.5147978372,114633.5750569744
59349.5438919824,0,0,1,0,0,0,0,1,0.02,68.8,39.4,76,18,2.6,85572.5797343172,60702.3210347456,60692.5215542268,63900.46752803,101237.4607721904,97827.3163568428,86337.8368771212,92956.4509026356,99977.7412917584,111033.9490831984
71397.8929820548,0,0,0,1,0,0,0,0,0,71.8,41.5,77,23,2.4,59349.5438919824,85572.5797343172,60702.3210347456,60692.5215542268,63900.46752803,101237.4607721904,97827.3163568428,98689.0722009388,104417.0555771644,112069.1781740356
80641.496098296,0,0,0,0,1,0,0,0,0,68.9,40.9,78,28,2.9,71397.8929820548,59349.5438919824,85572.5797343172,60702.3210347456,60692.5215542268,63900.46752803,101237.4607721904,87481.30908483399,92964.6794740636,112829.12414800879
90761.9657079828,0,0,0,0,0,1,0,0,0,72.9,42.2,88,32,2.7,80641.496098296,71397.8929820548,59349.5438919824,85572.5797343172,60702.3210347456,60692.5215542268,63900.46752803,100227.74025278,82184.80207221479,122926.8529784764
96160.7314218936,0,0,0,0,0,0,1,0,0,85.4,46.8,59,9,2.7,90761.9657079828,80641.496098296,71397.8929820548,59349.5438919824,85572.5797343172,60702.3210347456,60692.5215542268,92295.1729806036,87938.742851036,113204.49661551519
94381.04103240679,1,0,0,0,0,0,0,0,0,90.7,49.1,54,10,2.7,96160.7314218936,90761.9657079828,80641.496098296,71397.8929820548,59349.5438919824,85572.5797343172,60702.3210347456,85498.223370686,78519.4971374044,98441.76622692999
97421.6477854424,0,1,0,0,0,0,0,0,0,82.7,50.2,54,12,3,94381.04103240679,96160.7314218936,90761.9657079828,80641.496098296,71397.8929820548,59349.5438919824,85572.5797343172,90845.29869499,97429.1283049224,105949.5147978372
99816.0124606008,0,0,1,0,0,0,0,0,0,74,47.8,75,20,3,97421.6477854424,94381.04103240679,96160.7314218936,90761.9657079828,80641.496098296,71397.8929820548,59349.5438919824,86337.8368771212,92956.4509026356,99977.7412917584
94555.0379155116,0,0,0,1,0,0,0,0,0.04,75.1,45.9,89,33,2,99816.0124606008,97421.6477854424,94381.04103240679,96160.7314218936,90761.9657079828,80641.496098296,71397.8929820548,97827.3163568428,98689.0722009388,104417.0555771644
99310.254538558,0,0,0,0,1,0,0,0,0,80.2,47.7,76,13,2.6,94555.0379155116,99816.0124606008,97421.6477854424,94381.04103240679,96160.7314218936,90761.9657079828,80641.496098296,101237.4607721904,87481.30908483399,92964.6794740636
108028.5755769136,0,0,0,0,0,1,0,0,0.02,82.2,47.6,61,14,2.7,99310.254538558,94555.0379155116,99816.0124606008,97421.6477854424,94381.04103240679,96160.7314218936,90761.9657079828,63900.46752803,100227.74025278,82184.80207221479
112804.9620700884,0,0,0,0,0,0,1,0,0,78.7,48,74,18,2.9,108028.5755769136,99310.254538558,94555.0379155116,99816.0124606008,97421.6477854424,94381.04103240679,96160.7314218936,60692.5215542268,92295.1729806036,87938.742851036
115632.9724595024,1,0,0,0,0,0,0,0,0.05,66.3,44.2,89,42,2.9,112804.9620700884,108028.5755769136,99310.254538558,94555.0379155116,99816.0124606008,97421.6477854424,94381.04103240679,60702.3210347456,85498.223370686,78519.4971374044
109220.2223300776,0,1,0,0,0,0,0,0,0,74.8,44.9,89,16,2.6,115632.9724595024,112804.9620700884,108028.5755769136,99310.254538558,94555.0379155116,99816.0124606008,97421.6477854424,85572.5797343172,90845.29869499,97429.1283049224
100130.3438891504,0,0,1,0,0,0,0,0,0.04,69.1,42.2,83,25,2.9,109220.2223300776,115632.9724595024,112804.9620700884,108028.5755769136,99310.254538558,94555.0379155116,99816.0124606008,59349.5438919824,86337.8368771212,92956.4509026356
100792.9683046888,0,0,0,1,0,0,0,1,0,64.9,39.9,87,13,6.3,100130.3438891504,109220.2223300776,115632.9724595024,112804.9620700884,108028.5755769136,99310.254538558,94555.0379155116,71397.8929820548,97827.3163568428,98689.0722009388
105536.2160965672,0,0,0,0,1,0,0,0,0.04,68.3,40.6,44,9,3.9,100792.9683046888,100130.3438891504,109220.2223300776,115632.9724595024,112804.9620700884,108028.5755769136,99310.254538558,80641.496098296,101237.4607721904,87481.30908483399
102553.1345383328,0,0,0,0,0,1,0,0,0,72.7,37.1,50,9,2.5,105536.2160965672,100792.9683046888,100130.3438891504,109220.2223300776,115632.9724595024,112804.9620700884,108028.5755769136,90761.9657079828,63900.46752803,100227.74025278
111711.833758476,0,0,0,0,0,0,1,0,0.04,77.6,38.6,50,7,2.6,102553.1345383328,105536.2160965672,100792.9683046888,100130.3438891504,109220.2223300776,115632.9724595024,112804.9620700884,96160.7314218936,60692.5215542268,92295.1729806036
92565.070123442,1,0,0,0,0,0,0,0,0,79.1,43.6,42,8,2.9,111711.833758476,102553.1345383328,105536.2160965672,100792.9683046888,100130.3438891504,109220.2223300776,115632.9724595024,94381.04103240679,60702.3210347456,85498.223370686
105741.257135514,0,1,0,0,0,0,0,0,0,81.8,41.2,45,8,2.8,92565.070123442,111711.833758476,102553.1345383328,105536.2160965672,100792.9683046888,100130.3438891504,109220.2223300776,97421.6477854424,85572.5797343172,90845.29869499
94472.3781752576,0,0,1,0,0,0,0,0,0,76.6,42.6,41,10,3.5,105741.257135514,92565.070123442,111711.833758476,102553.1345383328,105536.2160965672,100792.9683046888,100130.3438891504,99816.0124606008,59349.5438919824,86337.8368771212
96218.55583747399,0,0,0,1,0,0,0,0,0.04,68.9,36,45,9,3,94472.3781752576,105741.257135514,92565.070123442,111711.833758476,102553.1345383328,105536.2160965672,100792.9683046888,94555.0379155116,71397.8929820548,97827.3163568428
88779.7776561724,0,0,0,0,1,0,0,0,0,75.4,36.7,45,5,2.5,96218.55583747399,94472.3781752576,105741.257135514,92565.070123442,111711.833758476,102553.1345383328,105536.2160965672,99310.254538558,80641.496098296,101237.4607721904
108796.6005119252,0,0,0,0,0,1,0,0,0.05,75,37.6,42,6,2.7,88779.7776561724,96218.55583747399,94472.3781752576,105741.257135514,92565.070123442,111711.833758476,102553.1345383328,108028.5755769136,90761.9657079828,63900.46752803
97741.215577628,0,0,0,0,0,0,1,0,0,79,39.5,44,7,2.7,108796.6005119252,88779.7776561724,96218.55583747399,94472.3781752576,105741.257135514,92565.070123442,111711.833758476,112804.9620700884,96160.7314218936,60692.5215542268
106992.1496029596,1,0,0,0,0,0,0,0,0.02,74,46.8,43,9,3.7,97741.215577628,108796.6005119252,88779.7776561724,96218.55583747399,94472.3781752576,105741.257135514,92565.070123442,115632.9724595024,94381.04103240679,60702.3210347456
86949.070123832,0,1,0,0,0,0,0,0,0,78.3,48.4,33,9,3.1,106992.1496029596,97741.215577628,108796.6005119252,88779.7776561724,96218.55583747399,94472.3781752576,105741.257135514,109220.2223300776,97421.6477854424,85572.5797343172
91597.6145390936,0,0,1,0,0,0,0,0,0.01,74.4,44.8,60,12,2.8,86949.070123832,106992.1496029596,97741.215577628,108796.6005119252,88779.7776561724,96218.55583747399,94472.3781752576,100130.3438891504,99816.0124606008,59349.5438919824
72623.7257092424,0,0,0,1,0,0,0,0,0,65.8,39.7,80,32,3.3,91597.6145390936,86949.070123832,106992.1496029596,97741.215577628,108796.6005119252,88779.7776561724,96218.55583747399,100792.9683046888,94555.0379155116,71397.8929820548
105194.8051875,0,0,0,0,1,0,0,0,0.04,58.5,43.9,86,54,2.1,72623.7257092424,91597.6145390936,86949.070123832,106992.1496029596,97741.215577628,108796.6005119252,88779.7776561724,105536.2160965672,99310.254538558,80641.496098296
94052.8706428192,0,0,0,0,0,1,0,0,0,55.9,44.4,85,72,2.8,105194.8051875,72623.7257092424,91597.6145390936,86949.070123832,106992.1496029596,97741.215577628,108796.6005119252,102553.1345383328,108028.5755769136,90761.9657079828
96491.594798494,0,0,0,0,0,0,1,0,0,66.9,37.8,74,15,2.6,94052.8706428192,105194.8051875,72623.7257092424,91597.6145390936,86949.070123832,106992.1496029596,97741.215577628,111711.833758476,112804.9620700884,96160.7314218936
91313.7288248276,1,0,0,0,0,0,0,0,0,64.5,42.4,68,20,4.9,96491.594798494,94052.8706428192,105194.8051875,72623.7257092424,91597.6145390936,86949.070123832,106992.1496029596,92565.070123442,115632.9724595024,94381.04103240679
86248.2950589456,0,1,0,0,0,0,0,0,0,66.1,36.7,66,17,3.5,91313.7288248276,96491.594798494,94052.8706428192,105194.8051875,72623.7257092424,91597.6145390936,86949.070123832,105741.257135514,109220.2223300776,97421.6477854424
87969.9366172676,0,0,1,0,0,0,0,0,0,74.2,39.1,55,14,2.6,86248.2950589456,91313.7288248276,96491.594798494,94052.8706428192,105194.8051875,72623.7257092424,91597.6145390936,94472.3781752576,100130.3438891504,99816.0124606008
96147.11687643999,0,0,0,1,0,0,0,0,0,64.7,44.2,81,28,4.1,87969.9366172676,86248.2950589456,91313.7288248276,96491.594798494,94052.8706428192,105194.8051875,72623.7257092424,96218.55583747399,100792.9683046888,94555.0379155116
85441.371422638,0,0,0,0,1,0,0,0,0,68.6,40,87,18,3.7,96147.11687643999,87969.9366172676,86248.2950589456,91313.7288248276,96491.594798494,94052.8706428192,105194.8051875,88779.7776561724,105536.2160965672,99310.254538558
97212.7916815608,0,0,0,0,0,1,0,0,0.01,71.9,38.1,55,12,2.8,85441.371422638,96147.11687643999,87969.9366172676,86248.2950589456,91313.7288248276,96491.594798494,94052.8706428192,108796.6005119252,102553.1345383328,108028.5755769136
101488.20778516,0,0,0,0,0,0,1,0,0,81.3,42,45,9,3.2,97212.7916815608,85441.371422638,96147.11687643999,87969.9366172676,86248.2950589456,91313.7288248276,96491.594798494,97741.215577628,111711.833758476,112804.9620700884
94739.3579154988,1,0,0,0,0,0,0,0,0,83.5,45.6,48,10,2.6,101488.20778516,97212.7916815608,85441.371422638,96147.11687643999,87969.9366172676,86248.2950589456,91313.7288248276,106992.1496029596,92565.070123442,115632.9724595024
93406.8529805264,0,1,0,0,0,0,0,0,0,72.8,44.2,54,12,2.6,94739.3579154988,101488.20778516,97212.7916815608,85441.371422638,96147.11687643999,87969.9366172676,86248.2950589456,86949.070123832,105741.257135514,109220.2223300776
96003.7901232032,0,0,1,0,0,0,0,0,0.01,71,41.7,65,9,3,93406.8529805264,94739.3579154988,101488.20778516,97212.7916815608,85441.371422638,96147.11687643999,87969.9366172676,91597.6145390936,94472.3781752576,100130.3438891504
92701.6644091468,0,0,0,1,0,0,0,0,0,59.4,42.2,76,13,3.4,96003.7901232032,93406.8529805264,94739.3579154988,101488.20778516,97212.7916815608,85441.371422638,96147.11687643999,72623.7257092424,96218.55583747399,100792.9683046888
81592.5693449832,0,0,0,0,1,0,0,1,0,73.6,40.8,87,19,2.4,92701.6644091468,96003.7901232032,93406.8529805264,94739.3579154988,101488.20778516,97212.7916815608,85441.371422638,105194.8051875,88779.7776561724,105536.2160965672
