Consumption,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Holiday,Precip (in),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Wind Speed (mph),Consumption_t1,Consumption_t2,Consumption_t3,Consumption_t4,Consumption_t5,Consumption_t6,Consumption_t7,Consumption_t14,Consumption_t21,Consumption_t28
3317261.049120284,1,0,0,0,0,0,0,0,0,86.7,56.7,78,29,2.9,3408943.043919112,3481019.9436543663,3307701.319250818,3402350.536906583,3483692.2096282067,3391851.553011208,3380685.98002497,3512196.3550807727,3438374.1753456397,3105961.807576516
3206640.8475695243,0,1,0,0,0,0,0,0,0,86.6,53.4,87,33,2.8,3317261.049120284,3408943.043919112,3481019.9436543663,3307701.319250818,3402350.536906583,3483692.2096282067,3391851.553011208,3475405.589369042,3585863.987283449,3381284.9452197338
3174722.9670522604,0,0,1,0,0,0,0,0,0,80.2,55.8,98,44,3.4,3206640.8475695243,3317261.049120284,3408943.043919112,3481019.9436543663,3307701.319250818,3402350.536906583,3483692.2096282067,3346730.106780575,3944407.305700109,3480587.4200180327
3093436.9493955676,0,0,0,1,0,0,0,0,0,76.3,58.1,88,49,3.8,3174722.9670522604,3206640.8475695243,3317261.049120284,3408943.043919112,3481019.9436543663,3307701.319250818,3402350.536906583,3460875.2039155057,3601023.634035643,3495259.710926105
2974602.9130401835,0,0,0,0,1,0,0,0,0,74.7,59.7,84,49,3.5,3093436.9493955676,3174722.9670522604,3206640.8475695243,3317261.049120284,3408943.043919112,3481019.9436543663,3307701.319250818,3272491.935357159,3701795.656885788,3495088.1078092335
2867792.465255393,0,0,0,0,0,1,0,0,0,71.5,60.4,84,54,3.3,2974602.9130401835,3093436.9493955676,3174722.9670522604,3206640.8475695243,3317261.049120284,3408943.043919112,3481019.9436543663,3207052.1265305346,3643141.202863887,3397345.24651732
2822634.439284503,0,0,0,0,0,0,1,0,0,65.6,56.6,83,62,4,2867792.465255393,2974602.9130401835,3093436.9493955676,3174722.9670522604,3206640.8475695243,3317261.049120284,3408943.043919112,3243200.3156189336,3657523.6236421093,3488465.005472031
2679924.0060476605,1,0,0,0,0,0,0,0,0,67.3,52.5,80,4,9,2822634.439284503,2867792.465255393,2974602.9130401835,3093436.9493955676,3174722.9670522604,3206640.8475695243,3317261.049120284,3380685.98002497,3512196.3550807727,3438374.1753456397
2986308.280312098,0,1,0,0,0,0,0,0,0,77.4,49.7,31,7,4.3,2679924.0060476605,2822634.439284503,2867792.465255393,2974602.9130401835,3093436.9493955676,3174722.9670522604,3206640.8475695243,3391851.553011208,3475405.589369042,3585863.987283449
3095968.5067979894,0,0,1,0,0,0,0,0,0,81,46.2,57,12,2.8,2986308.280312098,2679924.0060476605,2822634.439284503,2867792.465255393,2974602.9130401835,3093436.9493955676,3174722.9670522604,3483692.2096282067,3346730.106780575,3944407.305700109
3160146.0527675585,0,0,0,1,0,0,0,0,0,86.8,47.7,59,9,3,3095968.5067979894,2986308.280312098,2679924.0060476605,2822634.439284503,2867792.465255393,2974602.9130401835,3093436.9493955676,3402350.536906583,3460875.2039155057,3601023.634035643
3132765.8553668624,0,0,0,0,1,0,0,0,0,87.6,51.4,50,10,2.9,3160146.0527675585,3095968.5067979894,2986308.280312098,2679924.0060476605,2822634.439284503,2867792.465255393,2974602.9130401835,3307701.319250818,3272491.935357159,3701795.656885788
3045867.7275806894,0,0,0,0,0,1,0,0,0,90.4,50.6,47,10,3,3132765.8553668624,3160146.0527675585,3095968.5067979894,2986308.280312098,2679924.0060476605,2822634.439284503,2867792.465255393,3481019.9436543663,3207052.1265305346,3643141.202863887
