zone,term,estimate
Lower,(Intercept),-62335.296945855924
Lower,Tuesday,-17809.44121917059
Lower,Thursday,-12426.732782443774
Lower,Friday,-22801.558126921493
Lower,Holiday,17974.769906710357
Lower,`\`Precip (in)\``,-104141.48722721775
Lower,`\`Max Air Temp (F)\``,5029.31772466943
Lower,`\`Min Air Temp (F)\``,-2490.1872436683766
Lower,`\`Avg Wind Speed (mph)\``,5017.857457841215
Lower,Consumption_t1,0.41625653707820653
Lower,Consumption_t2,0.08297973661235065
Lower,Consumption_t3,0.05588334704912838
Lower,Consumption_t5,0.05021747705210959
Lower,Consumption_t7,0.08409685611031015
Lower,Consumption_t14,0.05109223081254
Lower,Consumption_t21,0.04491822729231311
Upper,(Intercept),-275617.3484069724
Upper,Monday,-47698.71082955023
Upper,Tuesday,-136479.8732965908
Upper,Wednesday,-38508.23197183094
Upper,Thursday,-98642.62787256585
Upper,Friday,-68689.85803506454
Upper,Saturday,-75590.90967808696
Upper,`\`Precip (in)\``,-293037.19328905427
Upper,`\`Max Air Temp (F)\``,13722.54317038925
Upper,`\`Min Air Temp (F)\``,-5315.096870455596
Upper,`\`Avg Wind Speed (mph)\``,20219.612470972646
Upper,Consumption_t1,0.4936057443088903
Upper,Consumption_t2,0.16018292360282682
Upper,Consumption_t5,0.05808468524838177
Upper,Consumption_t7,0.04559173978499961
Upper,Consumption_t21,0.0447999229103206
Intermediate,(Intercept),-127578.29433333976
Intermediate,Monday,44436.9726032363
Intermediate,Tuesday,-27136.18964723739
Intermediate,Thursday,-33047.95436666982
Intermediate,Friday,-42094.990393823435
Intermediate,`\`Precip (in)\``,-200543.67716140577
Intermediate,`\`Max Air Temp (F)\``,6966.008796444705
Intermediate,`\`Min Air Temp (F)\``,-3270.140853328168
Intermediate,`\`Max Rel Hum (%)\``,900.9878863834298
Intermediate,`\`Min Rel Hum (%)\``,-1075.6367687759357
Intermediate,`\`Avg Wind Speed (mph)\``,13209.866011800472
Intermediate,Consumption_t1,0.35108559006605505
Intermediate,Consumption_t2,0.24754873440781677
Intermediate,Consumption_t7,0.10715070624426375
Intermediate,Consumption_t14,0.06808748695916673
Intermediate,Consumption_t21,0.04250101290615167
Foothill,(Intercept),-62335.296945855924
Foothill,Tuesday,-17809.44121917059
Foothill,Thursday,-12426.732782443774
Foothill,Friday,-22801.558126921493
Foothill,Holiday,17974.769906710357
Foothill,`\`Precip (in)\``,-104141.48722721775
Foothill,`\`Max Air Temp (F)\``,5029.31772466943
Foothill,`\`Min Air Temp (F)\``,-2490.1872436683766
Foothill,`\`Avg Wind Speed (mph)\``,5017.857457841215
Foothill,Consumption_t1,0.41625653707820653
Foothill,Consumption_t2,0.08297973661235065
Foothill,Consumption_t3,0.05588334704912838
Foothill,Consumption_t5,0.05021747705210959
Foothill,Consumption_t7,0.08409685611031015
Foothill,Consumption_t14,0.05109223081254
Foothill,Consumption_t21,0.04491822729231311
Mountain,(Intercept),-13616.44279323272
Mountain,Monday,-3505.3398279631033
Mountain,Tuesday,-4809.138099235842
Mountain,Wednesday,-2747.728228382567
Mountain,Thursday,-4491.3530375207765
Mountain,Friday,-1880.57163555988
Mountain,`\`Precip (in)\``,-16045.413354444629
Mountain,`\`Max Air Temp (F)\``,529.8685916336822
Mountain,`\`Min Air Temp (F)\``,-255.46341760496202
Mountain,`\`Avg Wind Speed (mph)\``,725.6049043290898
Mountain,Consumption_t1,0.4165560615555022
Mountain,Consumption_t2,0.23324818763123054
